model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
swin_s3_base_224.ms_in1k,Transformer,ImageNet 1k,83.92,51.84511435,70.29664325,62.76595745,64.89361702
swin_s3_small_224.ms_in1k,Transformer,ImageNet 1k,83.756,51.27338877,64.12958626,55.31914894,57.44680851
swin_s3_tiny_224.ms_in1k,Transformer,ImageNet 1k,82.144,49.22037422,66.62763466,53.19148936,58.5106383
swin_small_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,83.208,50.7016632,68.07181889,54.25531915,59.57446809
swin_small_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,83.298,51.09147609,69.71116315,51.06382979,64.89361702
swin_tiny_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,81.376,51.1954262,65.88602654,58.5106383,58.5106383
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,80.968,51.53326403,69.3989071,54.25531915,55.31914894
tresnet_l.miil_in1k,CNN,ImageNet 1k,81.48,50.57172557,65.22248244,47.87234043,59.57446809
tresnet_m.miil_in1k,CNN,ImageNet 1k,80.798,52.05301455,65.6518345,53.19148936,68.08510638
tresnet_m.miil_in21k_ft_in1k,CNN,ImageNet 21k,83.07,50.62370062,68.22794692,54.25531915,60.63829787
tresnet_v2_l.miil_in21k_ft_in1k,CNN,ImageNet 21k,83.894,52.49480249,68.50117096,54.25531915,65.95744681
tresnet_xl.miil_in1k,CNN,ImageNet 1k,82.074,53.06652807,69.71116315,56.38297872,63.82978723
twins_pcpvt_base.in1k,Transformer,ImageNet 1k,82.714,49.81808732,63.97345824,53.19148936,57.44680851
twins_pcpvt_large.in1k,Transformer,ImageNet 1k,83.13,50.83160083,66.2763466,52.12765957,57.44680851
twins_pcpvt_small.in1k,Transformer,ImageNet 1k,81.092,50.5977131,65.45667447,59.57446809,50
twins_svt_base.in1k,Transformer,ImageNet 1k,83.12,50.23388773,64.9882904,60.63829787,59.57446809
twins_svt_small.in1k,Transformer,ImageNet 1k,81.676,50.77962578,65.84699454,58.5106383,56.38297872
vgg11_bn.tv_in1k,CNN,ImageNet 1k,70.382,50.54573805,59.64090554,50,65.95744681
vgg11.tv_in1k,CNN,ImageNet 1k,69.022,51.24740125,58.86026542,47.87234043,55.31914894
vgg13_bn.tv_in1k,CNN,ImageNet 1k,71.588,50.07796258,60.73380172,52.12765957,67.0212766
vgg13.tv_in1k,CNN,ImageNet 1k,69.932,50.28586279,62.06088993,51.06382979,59.57446809
vgg16_bn.tv_in1k,CNN,ImageNet 1k,73.37,49.35031185,62.37314598,51.06382979,61.70212766
vgg16.tv_in1k,CNN,ImageNet 1k,71.592,51.76715177,61.8657299,53.19148936,54.25531915
vgg19_bn.tv_in1k,CNN,ImageNet 1k,74.216,49.92203742,62.17798595,51.06382979,54.25531915
vgg19.tv_in1k,CNN,ImageNet 1k,72.378,49.50623701,62.91959407,51.06382979,67.0212766
visformer_small.in1k,Hybrid,ImageNet 1k,82.106,50,67.5253708,56.38297872,58.5106383
visformer_tiny.in1k,Hybrid,ImageNet 1k,78.16,51.09147609,67.5253708,57.44680851,51.06382979
vit_base_patch16_224_miil.in21k_ft_in1k,Transformer,ImageNet 21k,84.266,51.01351351,69.16471507,55.31914894,71.27659574
vit_base_patch16_224.augreg_in1k,Transformer,ImageNet 1k,79.154,50.38981289,71.58469945,55.31914894,56.38297872
vit_base_patch16_224.augreg2_in21k_ft_in1k,Transformer,ImageNet 21k,85.094,52.05301455,73.45823575,51.06382979,63.82978723
vit_base_patch16_224.orig_in21k_ft_in1k,Transformer,ImageNet 21k,81.79,50.46777547,73.30210773,48.93617021,63.82978723
vit_base_patch16_224.sam_in1k,Transformer,ImageNet 1k,80.238,51.55925156,67.09601874,53.19148936,65.95744681
vit_base_patch16_rpn_224.sw_in1k,Transformer,ImageNet 1k,82.202,51.03950104,69.71116315,53.19148936,61.70212766
vit_base_patch8_224.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,85.798,51.03950104,77.16627635,48.93617021,65.95744681
